,Road_Configuration,Light_Condition
330,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
331,"TWO-WAY,NOT DIVIDED",DAYLIGHT
332,"TWO-WAY,NOT DIVIDED",DAYLIGHT
333,"TWO-WAY,NOT DIVIDED",DAYLIGHT
334,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
335,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
336,"TWO-WAY,NOT DIVIDED",DAYLIGHT
337,"TWO-WAY,NOT DIVIDED",DAYLIGHT
338,"ONE-WAY,NOT DIVIDED",DAYLIGHT
339,"TWO-WAY,NOT DIVIDED",DAYLIGHT
340,"ONE-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
341,"ONE-WAY,NOT DIVIDED",DAYLIGHT
342,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
343,"TWO-WAY,NOT DIVIDED",DAYLIGHT
344,"TWO-WAY,NOT DIVIDED",DAYLIGHT
345,"TWO-WAY,NOT DIVIDED",DAYLIGHT
346,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
347,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
348,"TWO-WAY,NOT DIVIDED",DAYLIGHT
349,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
350,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
351,"TWO-WAY,NOT DIVIDED",DAYLIGHT
352,"ONE-WAY,NOT DIVIDED",DAYLIGHT
353,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
354,"TWO-WAY,NOT DIVIDED",DAYLIGHT
355,"TWO-WAY,NOT DIVIDED",DAYLIGHT
356,"TWO-WAY,NOT DIVIDED",DAYLIGHT
357,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
358,"TWO-WAY,NOT DIVIDED",DAYLIGHT
359,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
360,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
361,"TWO-WAY,NOT DIVIDED",DAYLIGHT
362,"TWO-WAY,NOT DIVIDED",DAYLIGHT
363,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
364,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
365,"TWO-WAY,NOT DIVIDED",DAYLIGHT
366,"ONE-WAY,NOT DIVIDED",DAYLIGHT
367,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
368,"TWO-WAY,NOT DIVIDED",DAYLIGHT
369,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
370,"TWO-WAY,NOT DIVIDED",DAYLIGHT
371,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
372,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
373,"TWO-WAY,NOT DIVIDED",DAYLIGHT
